N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
2730	-0.215811923	-0.086594776	0.054118508	0.006787341	0.036237055	"#0d34f6"	cult
2760	-0.216287355	-0.084829911	0.052605259	0.008779642	0.035723915	"#0d34f6"	cult
2738	-0.216597434	-0.086414619	0.054064689	0.006349475	0.035932617	"#0d34f6"	cult
2805	-0.215342647	-0.088138205	0.054122805	0.006945054	0.037687026	"#0d34f6"	cult
358	-0.150602564	-0.061185696	0.025290788	0.036342061	0.01612662	"#0d34f6"	cult
396	-0.198717412	-0.065174971	0.057123537	-0.050080263	0.032424001	"#0d34f6"	cult
397	-0.171236181	-0.062762272	0.051815064	-0.056806843	0.043096168	"#0d34f6"	cult
2766	-0.170750948	-0.061789206	0.05244831	-0.057751757	0.044787102	"#0d34f6"	cult
2794	-0.179146682	-0.060118744	0.052046026	-0.057325328	0.040974124	"#0d34f6"	cult
220	-0.155161834	-0.075841856	0.045738394	-0.050968721	0.046677932	"#0d34f6"	cult
152	-0.171476076	-0.079626929	0.043104151	-0.024752219	0.042116458	"#0d34f6"	cult
211	-0.16969376	-0.076056144	0.044934867	-0.025733837	0.040055421	"#0d34f6"	cult
296	-0.161138022	-0.077571977	0.044779339	-0.046716022	0.047171966	"#0d34f6"	cult
214	-0.165828861	-0.081659913	0.046375118	-0.017547226	0.040077758	"#0d34f6"	cult
343	-0.150847609	-0.087164127	0.04403659	-0.043591343	0.056953622	"#0d34f6"	cult
4	-0.161817852	-0.080999808	0.053045262	-0.047249026	0.049702452	"#0d34f6"	cult
5	-0.153174551	-0.081255876	0.052128367	-0.046166033	0.051730531	"#0d34f6"	cult
215	-0.146402716	-0.084385447	0.042153268	-0.030558124	0.050632346	"#0d34f6"	cult
41	-0.139266525	-0.082387111	0.043590171	-0.0340473	0.046747071	"#0d34f6"	cult
150	-0.151499868	-0.080424689	0.049101194	-0.049426555	0.051472482	"#0d34f6"	cult
34	-0.145681692	-0.078470836	0.049923497	-0.051707956	0.07006413	"#0d34f6"	cult
311	-0.155783367	-0.081904312	0.054701469	-0.05047605	0.058098941	"#0d34f6"	cult
95	-0.153791578	-0.084266518	0.050414877	-0.04868948	0.053961301	"#0d34f6"	cult
329	-0.152744305	-0.084597885	0.052364426	-0.048863917	0.058174325	"#0d34f6"	cult
278	-0.151594878	-0.084200805	0.049072769	-0.048357149	0.055643451	"#0d34f6"	cult
307	-0.143995845	-0.085349338	0.047061765	-0.038477206	0.057495276	"#0d34f6"	cult
85	-0.156925447	-0.085927984	0.050175531	-0.044775846	0.0542626	"#0d34f6"	cult
228	-0.155881769	-0.084882792	0.049926555	-0.044304963	0.055868204	"#0d34f6"	cult
190	-0.153876551	-0.082375303	0.049516854	-0.046097991	0.052741956	"#0d34f6"	cult
277	-0.152514361	-0.081774689	0.049859217	-0.045957115	0.050120816	"#0d34f6"	cult
134	-0.14902536	-0.08348313	0.04888964	-0.039103699	0.052353437	"#0d34f6"	cult
363	-0.153195462	-0.082343504	0.052711483	-0.043226412	0.056302577	"#0d34f6"	cult
144	-0.149896162	-0.083379262	0.050470485	-0.043863689	0.053488681	"#0d34f6"	cult
35	-0.14293746	-0.082532059	0.050234802	-0.042025882	0.060287961	"#0d34f6"	cult
359	-0.148650401	-0.080303077	0.048358278	-0.045674187	0.051236145	"#0d34f6"	cult
197	-0.151872822	-0.084554331	0.050072361	-0.049194148	0.053421575	"#0d34f6"	cult
2672	-0.150648531	-0.084163225	0.05009108	-0.048862792	0.052374123	"#0d34f6"	cult
276	-0.147259543	-0.07960871	0.050916486	-0.033842051	0.047621448	"#0d34f6"	cult
154	-0.140808906	-0.083422296	0.048593261	-0.050058163	0.054726758	"#0d34f6"	cult
151	-0.144298818	-0.080565707	0.047557271	-0.046833698	0.049179045	"#0d34f6"	cult
425	-0.149374036	-0.078991029	0.048780029	-0.048018299	0.050495365	"#0d34f6"	cult
242	-0.150147038	-0.081065748	0.053552964	-0.047054769	0.051347553	"#0d34f6"	cult
426	-0.146030272	-0.08645699	0.049477791	-0.048956621	0.057814696	"#0d34f6"	cult
202	-0.144535393	-0.078788566	0.045263381	-0.047803455	0.051208358	"#0d34f6"	cult
433	-0.145689134	-0.084446313	0.049547119	-0.047678658	0.055850463	"#0d34f6"	cult
99	-0.14218047	-0.080521277	0.04897959	-0.045155749	0.051792564	"#0d34f6"	cult
192	-0.148932245	-0.082764802	0.052056179	-0.051058533	0.058291117	"#0d34f6"	cult
2725	-0.145995149	-0.080267206	0.051320073	-0.050849857	0.055134181	"#0d34f6"	cult
432	-0.143576364	-0.083872606	0.046065568	-0.050348618	0.054211531	"#0d34f6"	cult
100	-0.1472929	-0.079587549	0.05129423	-0.041022419	0.051340145	"#0d34f6"	cult
368	-0.153042746	-0.083747243	0.048472788	-0.045678602	0.053677704	"#0d34f6"	cult
